,genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
36,"['electropop', 'indie poptimism', 'indietronica', 'new french touch', 'pop', 'tropical house', 'vapor soul']",https://api.spotify.com/v1/artists/7C3Cbtr2PkH2l4tOGhtCsk,7C3Cbtr2PkH2l4tOGhtCsk,"[{'height': 640, 'url': 'https://i.scdn.co/image/7f0f3e0101b6f051fbbc005fd68acd48389e9d9a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ff20c435f77933f7397ea0fa93a3c89dda7e32fa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6f66e3809309c96eda9669e3ee5b230c2cd389c8', 'width': 160}]",Shallou,71,artist,spotify:artist:7C3Cbtr2PkH2l4tOGhtCsk,https://open.spotify.com/artist/7C3Cbtr2PkH2l4tOGhtCsk,,137319
37,[],https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,6UcJxoeHWWWyT5HZP064om,"[{'height': 640, 'url': 'https://i.scdn.co/image/70b47b529f7cdbc43925acaf2c7d5f7274213e69', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/8299e5a4da88942e5c0684856a84622407d14401', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5467747a1caf2130bf25db78ded49392a32bad3e', 'width': 160}]",Chet Faker,69,artist,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://open.spotify.com/artist/6UcJxoeHWWWyT5HZP064om,,53448
38,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",https://api.spotify.com/v1/artists/35U9lQaRWSQISxQAB94Meo,35U9lQaRWSQISxQAB94Meo,"[{'height': 396, 'url': 'https://i.scdn.co/image/185231175df036c1c337231e855b18a63a30b794', 'width': 614}, {'height': 129, 'url': 'https://i.scdn.co/image/d8580fb951d1e0fdb73b9b1599056ec83f11325a', 'width': 200}, {'height': 41, 'url': 'https://i.scdn.co/image/b807b90fc57bcee5c085edd185807e3dc0e444b7', 'width': 64}]",America,72,artist,spotify:artist:35U9lQaRWSQISxQAB94Meo,https://open.spotify.com/artist/35U9lQaRWSQISxQAB94Meo,,917932
39,['chillhop'],https://api.spotify.com/v1/artists/6vXJ4kIg2HlqsSfX3S1RHV,6vXJ4kIg2HlqsSfX3S1RHV,"[{'height': 640, 'url': 'https://i.scdn.co/image/97d9c0f5cc8b7e2397cecd22734b0de327239c1a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/56bbca3eeee840cbb2757badd173a45841b49e69', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/2b146e8dbbb4e328281423999e04db661edad7ff', 'width': 160}]",Mtbrd,47,artist,spotify:artist:6vXJ4kIg2HlqsSfX3S1RHV,https://open.spotify.com/artist/6vXJ4kIg2HlqsSfX3S1RHV,,12958
40,"['edm', 'pop', 'pop edm', 'tropical house']",https://api.spotify.com/v1/artists/20gsENnposVs2I4rQ5kvrf,20gsENnposVs2I4rQ5kvrf,"[{'height': 640, 'url': 'https://i.scdn.co/image/7d85234afc83df9951394e9d6cb76d1fe983e0fb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/5a055a13aa0f04414273cc2ea3ff75cc5129abb3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b0a3f2277ada7f41bdd3d035fe6699a6ce9ff208', 'width': 160}]",Sam Feldt,82,artist,spotify:artist:20gsENnposVs2I4rQ5kvrf,https://open.spotify.com/artist/20gsENnposVs2I4rQ5kvrf,,522059
41,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap']",https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp,738wLrAtLtCtFOLvQBXOXp,"[{'height': 640, 'url': 'https://i.scdn.co/image/093b23f613441e9b90070939795f3109386edbb4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0f32e29e9cdab71bf3ff011f3853164a5865dc4d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1d6b858ebb97bda71a2e0965bad8df5dba7e9065', 'width': 160}]",Major Lazer,84,artist,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp,,6016487
42,"['chicago rap', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/bd1c6fdf3705cf9b7d0c8ac8e7bbed98e31a1559', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b1414e865a16bc0080085ee1901d0bfd19f83fcb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ac5cb571c194ca5a942b8096618217839b901a76', 'width': 160}]",Kanye West,93,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,,11904957
43,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",https://api.spotify.com/v1/artists/10gzBoINW3cLJfZUka8Zoe,10gzBoINW3cLJfZUka8Zoe,"[{'height': 640, 'url': 'https://i.scdn.co/image/4dc7080ef509c36203a131a0eab8dd5e4800d7c2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1def2cb9b2bdf2fdd596f4aff4d8d3efcacf1fa4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c8fde6d9f274eb40e5404dd1e806b597ca09c29d', 'width': 160}]",Above & Beyond,71,artist,spotify:artist:10gzBoINW3cLJfZUka8Zoe,https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe,,589211
44,"['new french touch', 'tropical house']",https://api.spotify.com/v1/artists/6gK1Uct5FEdaUWRWpU4Cl2,6gK1Uct5FEdaUWRWpU4Cl2,"[{'height': 640, 'url': 'https://i.scdn.co/image/5c21e070f2702bff97752ef53fef97523d09f999', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/30ed34cb1f71b0ec1bad7f04c0e671461ddc4065', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/3e50769340f7e9b29ccdc66f012c3d3404a1e35b', 'width': 160}]",Petit Biscuit,75,artist,spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2,https://open.spotify.com/artist/6gK1Uct5FEdaUWRWpU4Cl2,,750620
45,"['deep house', 'deep tropical house', 'electra', 'house', 'new french touch', 'progressive house', 'swiss pop', 'tropical house']",https://api.spotify.com/v1/artists/24DO0PijjITGIEWsO8XaPs,24DO0PijjITGIEWsO8XaPs,"[{'height': 640, 'url': 'https://i.scdn.co/image/4a4a6a7fe0d8bdf117b9acb183e765689ea726d7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/47301a49e698637f3c02e485c7e9d00210239359', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/316e630a94a2815488d8794eea22085e4b23c390', 'width': 160}]",Nora En Pure,68,artist,spotify:artist:24DO0PijjITGIEWsO8XaPs,https://open.spotify.com/artist/24DO0PijjITGIEWsO8XaPs,,204410
46,"['british singer-songwriter', 'fingerstyle', 'folk-pop', 'indie folk', 'neo mellow', 'stomp and holler']",https://api.spotify.com/v1/artists/5schNIzWdI9gJ1QRK8SBnc,5schNIzWdI9gJ1QRK8SBnc,"[{'height': 640, 'url': 'https://i.scdn.co/image/7ec49cdc5e055089b05e7202bfd52cdf7ab63fcf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b50567b5a603a0e0a15c171732762cc5fc16c7c4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/45e93ccf2ca704881ab413a662df10e49ee6bbfb', 'width': 160}]",Ben Howard,73,artist,spotify:artist:5schNIzWdI9gJ1QRK8SBnc,https://open.spotify.com/artist/5schNIzWdI9gJ1QRK8SBnc,,1727002
47,"['album rock', 'classic rock', 'hard rock', 'rock']",https://api.spotify.com/v1/artists/36QJpDe2go2KgaRleHCDTp,36QJpDe2go2KgaRleHCDTp,"[{'height': 600, 'url': 'https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e', 'width': 600}, {'height': 200, 'url': 'https://i.scdn.co/image/b0248a44865493e6a03832aa89854ada16ff07a8', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/16eb3cdae0d824b520ac17710e943a99d3ef6602', 'width': 64}]",Led Zeppelin,83,artist,spotify:artist:36QJpDe2go2KgaRleHCDTp,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,,9153816
48,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'neo-psychedelic', 'neo-synthpop', 'new rave', 'nu gaze', 'shimmer pop']",https://api.spotify.com/v1/artists/5juOkIIy18sFw9L30syt1Z,5juOkIIy18sFw9L30syt1Z,"[{'height': 640, 'url': 'https://i.scdn.co/image/9dabb571678ff026321fa92396c1e5ba4a71c2b3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/173d263facbe4e0584d532d48c165b08145b05e7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/8cf9023c7842116eda7fa0bcf1d2caae1c9f9566', 'width': 160}]",Washed Out,63,artist,spotify:artist:5juOkIIy18sFw9L30syt1Z,https://open.spotify.com/artist/5juOkIIy18sFw9L30syt1Z,,380956
49,"['chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'seattle indie', 'stomp and holler']",https://api.spotify.com/v1/artists/4EVpmkEwrLYEg6jIsiPMIb,4EVpmkEwrLYEg6jIsiPMIb,"[{'height': 640, 'url': 'https://i.scdn.co/image/955f9aedff448f3987bc17c342bd91311de9d0b2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/44b5309c164bb28be7acd2fbcff43d1ff9c9fecb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f7f698db0d9b139ab516ee489381ccb6b1da8dfc', 'width': 160}]",Fleet Foxes,67,artist,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,,977965
