,artists,name,popularity,duration_ms,album.name,album.release_date,term
69,Masego,Lavish Lullaby,58,197360,Lady Lady,2018-09-07,Medium Term
70,Masego,Flight 99,58,167142,Flight 99,2019-11-15,Medium Term
71,Fleet Foxes,Blue Ridge Mountains,58,265773,Fleet Foxes,2008-06-03,Medium Term
72,Tep No,"Breathe, Be Happy",58,159699,"Breathe, Be Happy",2020-01-31,Medium Term
73,NoMBe,Paint California,55,207133,Paint California,2019-12-04,Medium Term
74,Point Point,F+L,50,300000,F+L,2017-07-28,Medium Term
75,Darondo,Didn't I,50,209186,Let My People Go,2005-01-24,Medium Term
76,yuzu blur,Home Soon,49,144000,Home Soon,2018-06-20,Medium Term
77,Toro y Moi,New House,47,150746,Outer Peace,2019-01-18,Medium Term
78,Lane 8,Roll Call,47,275409,Roll Call,2020-05-07,Medium Term
79,Tycho,Alright,46,242483,Simulcast,2020-02-28,Medium Term
80,Ekali,Fairy Tale,46,255368,A World Away,2020-01-24,Medium Term
81,James Blake,Can't Believe The Way We Flow,46,267200,Assume Form,2019-01-18,Medium Term
82,Autograf,Hold Me Back,45,251120,Love & Retrograde,2019-06-07,Medium Term
83,Robotaki,Los Angeles,42,211200,The Grand Mirage,2020-03-27,Medium Term
84,Tycho,Into The Woods,42,242610,Simulcast,2020-02-28,Medium Term
85,Robotaki,Dreamcatcher,37,198545,The Grand Mirage,2020-03-27,Medium Term
86,dj poolboi,it's alright now,36,160000,it's good to hear your voice,2020-03-20,Medium Term
87,Thrupence,Thought 8,36,204000,Thoughts,2012-11-15,Medium Term
88,Lane 8,The Rope,36,295081,The Rope,2020-03-05,Medium Term
89,M83,Feelings,34,235029,DSVII,2019-09-20,Medium Term
90,Day Wave,Starting Again,32,213863,Crush,2020-04-24,Medium Term
91,Keys N Krates,Evening at the Beach,32,192515,A Beat Tape for Your Friends,2019-07-11,Medium Term
92,harvey lorimer,19,29,130914,music to feel better,2019-06-14,Medium Term
93,GoldStone,All I Know (Nicolas Haelg Remix),28,161065,All I Know (Nicolas Haelg Remix),2020-04-24,Medium Term
94,Mr. Carmack,At Night,28,231106,"Melodies, Vol. 1",2014-04-15,Medium Term
95,Robotaki,The Possibility of a Dream Coming True,27,146769,The Grand Mirage,2020-03-27,Medium Term
96,Robotaki,Passing of Time,23,240000,The Grand Mirage,2020-03-27,Medium Term
97,Robotaki,A Universal Truth,19,83312,The Grand Mirage,2020-03-27,Medium Term
98,Daktyl,Tides,18,277665,UNREALITY,2020-02-28,Medium Term
99,Mr. Carmack,At Night,14,231106,Escape Everything,2020-01-31,Medium Term
100,America,A Horse with No Name,77,252239,America,1972,Long Term
101,Third Eye Blind,Semi-Charmed Life,74,268360,Third Eye Blind,1997-04-08,Long Term
102,Glass Animals,Gooey,71,289306,ZABA,2014-06-03,Long Term
103,J. Cole,Love Yourz,70,211680,2014 Forest Hills Drive,2014-12-09,Long Term
104,Led Zeppelin,Ramble On - 1990 Remaster,70,263333,Led Zeppelin II (1994 Remaster),1969-10-22,Long Term
105,America,Ventura Highway,70,211386,Homecoming,1972-01-01,Long Term
106,Kacey Musgraves,Slow Burn,69,246133,Golden Hour,2018-03-30,Long Term
